[2026-05-13 05:27:15 : INFO] - Cache for URL: https://dysonblog.org/ has been purged, triggered by action: save_post 
[2026-05-13 05:27:15 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: page and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-13 05:27:18 : INFO] - Cache for URL: https://dysonblog.org/ has been purged, triggered by action: save_post 
[2026-05-13 05:27:18 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: page and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-13 05:28:35 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-13 05:28:37 : INFO] - Cache for URL: https://dysonblog.org/fintokei-strategy/ has been purged, triggered by action: save_post 
[2026-05-13 05:28:37 : INFO] - Cache for previous post (with URL: https://dysonblog.org/0-level/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-13 05:28:37 : INFO] - Cache for next post (with URL: https://dysonblog.org/prop-farm/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-13 05:28:37 : INFO] - Cache for all archives page associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" have been purged, triggered by action: save_post 
[2026-05-13 05:28:37 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-13 05:28:46 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-13 05:28:48 : INFO] - Cache for URL: https://dysonblog.org/fintokei-strategy/ has been purged, triggered by action: save_post 
[2026-05-13 05:28:48 : INFO] - Cache for previous post (with URL: https://dysonblog.org/0-level/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-13 05:28:48 : INFO] - Cache for next post (with URL: https://dysonblog.org/prop-farm/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-13 05:28:48 : INFO] - Cache for all archives page associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" have been purged, triggered by action: save_post 
[2026-05-13 05:28:48 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-14 03:31:30 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 03:31:32 : INFO] - Cache for URL: https://dysonblog.org/fintokei-strategy/ has been purged, triggered by action: save_post 
[2026-05-14 03:31:32 : INFO] - Cache for previous post (with URL: https://dysonblog.org/0-level/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-14 03:31:32 : INFO] - Cache for next post (with URL: https://dysonblog.org/prop-farm/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-14 03:31:32 : INFO] - Cache for all archives page associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" have been purged, triggered by action: save_post 
[2026-05-14 03:31:32 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-14 03:31:42 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 03:31:43 : INFO] - Cache for URL: https://dysonblog.org/fintokei-strategy/ has been purged, triggered by action: save_post 
[2026-05-14 03:31:43 : INFO] - Cache for previous post (with URL: https://dysonblog.org/0-level/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-14 03:31:43 : INFO] - Cache for next post (with URL: https://dysonblog.org/prop-farm/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
